amount,bankCardInfo.bankCode,city,companyInfo.companyName,companyInfo.industry,companyInfo.occupation,customerSource,degree,idInfo.birthDate,idInfo.gender,idInfo.nation,idInfo.validityDate,income,jobFunctions,linkmanList.0.relationship,linkmanList.1.relationship,maritalStatus,pictureInfo.0.faceScore,province,purpose,resideFunctions,term,deviceInfo.gpsLatitude,deviceInfo.gpsLongitude,deviceInfo.osType,deviceInfo.isCrossDomain,label
10000,103,成都市,美艺建筑沙盘模型公司,E,24,APP,2,35.1,M,汉,5971,2,,MATE,FRIENDS,1,92.02,四川省,CONSUME,,12,30.96196330363219,104.02397841683127,ANDROID,false,0
10000,105,东营市,天津枫叶网络信息科技有限公司,F,17,XCX,4,30.5,M,汉,7149,4,,MOTHER,RELATIVES,3,86.959,山东省,CONSUME,,12,37.168080240885416,118.43163926866319,ANDROID,false,0
10000,102,盐城市,北京精雕科技集团有限公司上海分公司,H,54,APP,2,36.5,M,汉,4123,3,,SIBLING,MOTHER,1,70,江苏省,CONSUME,,12,31.27324984124677,121.39130620369925,ANDROID,false,1
10000,,贵阳市,重庆一乔有限公司,Z,90,APP,2,37.4,F,汉,6517,2,,MOTHER,RELATIVES,2,70,贵州省,CONSUME,,12,26.631365357864213,106.66150066424319,ANDROID,,0
10000,104,松原市,吉林省德伟米业,C,24,XCX,3,45.9,F,汉,321,4,,MATE,FRIENDS,1,91.83901,吉林省,CONSUME,,12,45.18822317466955,124.84273118922778,IOS,,1
10000,102,东莞市,东莞典恒科技有限公司,G,13,APP,3,31.6,M,汉,6176,2,,PARENTS,FRIENDS,2,75.958,广东省,CONSUME,,12,23.03070574392247,114.11966471839989,ANDROID,false,0
10000,307,南宁市,中国平安财产保险股份有限公司广西分公司,J,13,APP,4,40.8,M,汉,4526,2,,MATE,MATE,1,70,广西壮族自治区,CONSUME,,12,22.825504317792658,108.39265665860853,ANDROID,false,0
10000,103,忻州市,王宇超个人工作室,Z,90,APP,4,36.0,M,汉,6076,4,,MATE,FRIENDS,1,86.149,山西省,CONSUME,,12,41.832306850630427,123.52469205617955,ANDROID,false,1
10000,103,南充市,四川优力克环保有限公司,M,11,XCX,3,36.9,M,汉,6412,4,,PARENTS,FRIENDS,2,70,四川省,CONSUME,,12,30.78249782986111,106.07873562282987,ANDROID,,0
10000,103,吴忠市,锁学海个人工作室,H,54,APP,2,29.5,M,回,6721,4,,PARENTS,RELATIVES,1,70,宁夏回族自治区,CONSUME,,12,37.048550381569288,106.49426523483328,ANDROID,false,0
10000,,博尔塔拉蒙古自治州,新疆双河能源集团,D,17,APP,4,39.0,M,汉,4409,2,,MOTHER,COLLEAGUE,1,70,新疆维吾尔自治区,CONSUME,,12,44.856839,82.074865,ANDROID,false,0
10000,,安庆市,上海维鏊实业有限公司,Z,90,APP,2,32.2,M,汉,6517,3,,PARENTS,FRIENDS,3,70,安徽省,CONSUME,,12,31.003617085894715,121.30418162393983,ANDROID,,0
10000,104,临沂市,三益砂浆有限公司,C,24,APP,2,32.9,M,汉,5805,2,,FRIENDS,PARENTS,2,94.279,山东省,CONSUME,,12,35.23356091933516,118.81759922754641,ANDROID,false,0
10000,301,上海市,上海汽车集团股份有限公司乘用车公司,C,24,XCX,3,38.6,M,汉,3325,2,,FRIENDS,FATHER,2,70,上海市,CONSUME,,12,30.971587942881706,121.82734735557398,ANDROID,,1
10000,103,许昌市,尚佰木业,H,54,APP,2,30.5,M,汉,1109,2,,FATHER,FRIENDS,2,90.905,河南省,CONSUME,,12,34.74552096422214,113.7189742014644,ANDROID,false,0
10000,103,上海市,上海市松江区新浜镇丫蓝理发店,H,54,APP,4,54.5,M,汉,859,4,,MATE,FRIENDS,1,89.158,上海市,CONSUME,,12,30.936063308087783,121.07455129892922,ANDROID,false,0
10000,104,苏州市,江苏长飞中利光纤光缆有限公司,G,13,APP,3,31.8,M,汉,6486,2,,FRIENDS,FATHER,1,95.072,江苏省,CONSUME,,12,31.50194611977161,120.95999865441054,ANDROID,,0
10000,,北京市,江苏省市场监督管理局,Z,90,APP,4,27.9,M,藏,952,3,,PARENTS,MOTHER,2,70,北京市,CONSUME,,12,32.061280063558637,118.75030583738432,ANDROID,,1
10000,105,衢州市,杭州联华华商集团有限公司,H,54,XCX,4,32.5,M,汉,6661,4,,MATE,SIBLING,1,70,浙江省,CONSUME,,12,30.313478187570138,120.27791614029178,ANDROID,,1
10000,103,万宁市,黄光强个人工作室,Z,90,XCX,3,43.9,M,汉,5814,3,,MATE,FRIENDS,1,70,海南省,CONSUME,,12,18.951432857764478,110.44068852959208,ANDROID,,0
10000,102,商丘市,兆邦物流,F,17,XCX,3,34.1,F,汉,6179,4,,MATE,SIBLING,3,93.8,河南省,CONSUME,,12,41.570724587315205,120.439945994590389,ANDROID,,0
10000,,遂宁市,聚瑞云控科技有限公司,Z,90,APP,3,32.4,M,汉,6718,2,,PARENTS,FRIENDS,1,89.451,四川省,CONSUME,,12,30.572814182742786,104.06150427225396,ANDROID,,0
10000,103,邯郸市,磁州印象,H,54,XCX,3,30.5,F,汉,6381,2,,MATE,COLLEAGUE,1,70,河北省,CONSUME,,12,36.34284401124968,114.41900821530816,ANDROID,,0
10000,105,丹东市,名悦小厨酒店,I,54,APP,2,44.7,M,汉,4155,3,,PARENTS,FRIENDS,3,87.625,辽宁省,CONSUME,,12,40.133167132016527,124.40895667318556,ANDROID,false,0
10000,105,福州市,福建世通新材料科技有限公司,Z,90,APP,2,41.1,M,汉,5494,3,,SIBLING,FATHER,3,85.023,福建省,CONSUME,,12,26.15834545612,119.16566364902,ANDROID,false,0
10000,,宣城市,中国邮政集团公司安徽省郎溪县分公司,Z,90,APP,2,28.9,M,汉,191,4,,COLLEAGUE,MATE,1,70,安徽省,CONSUME,,12,31.136497,119.183663,ANDROID,false,0
